ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00002038,Dec,4,Tuesday,Honda,Urban,Friday,Jan,1,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
CL00014872,Jul,2,Friday,Mazda,Urban,Monday,Jul,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00004211,Aug,4,Friday,Toyota,Urban,Friday,Aug,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
CL00001825,Apr,4,Saturday,Toyota,Rural,Thursday,Oct,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00015015,Jul,1,Saturday,Pontiac,Urban,Wednesday,Jul,2,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
CL00003227,Nov,2,Friday,Pontiac,Urban,Friday,Nov,2,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00006233,Apr,3,Friday,Saab,Urban,Friday,Apr,4,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00000958,Apr,3,Friday,Chevrolet,Urban,Monday,Apr,3,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00015289,Mar,1,Thursday,Mazda,Urban,Thursday,Mar,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
CL00013805,May,1,Wednesday,Pontiac,Urban,Monday,May,2,Female,Single,Third Party,Sedan - Liability,Sport,less than 20000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1994,Liability
CL00007312,Sep,1,Friday,Pontiac,Rural,Monday,Sep,1,Male,Married,Policy Holder,Sedan - Liability,Sport,less than 20000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
CL00003378,Jun,1,Monday,Honda,Urban,Thursday,Jun,3,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00008331,Nov,4,Monday,Toyota,Urban,Friday,Dec,1,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00004904,Aug,2,Thursday,Ford,Rural,Thursday,Aug,3,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,1 year,2 vehicles,1994,Collision
CL00002786,Jan,2,Saturday,Honda,Urban,Friday,Feb,2,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
CL00007061,Feb,1,Tuesday,Mazda,Urban,Thursday,Feb,1,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00015239,Jul,2,Monday,Pontiac,Urban,Wednesday,Sep,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00005040,May,5,Sunday,Honda,Urban,Tuesday,Jun,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00000130,Sep,2,Monday,Pontiac,Urban,Monday,Sep,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
CL00006222,Aug,3,Thursday,Honda,Urban,Wednesday,Aug,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
CL00014762,Jun,4,Sunday,Toyota,Urban,Tuesday,Jul,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00001772,Oct,2,Friday,Pontiac,Urban,Monday,Dec,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,2 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00008207,Oct,4,Saturday,Chevrolet,Urban,Monday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
CL00003997,Sep,4,Saturday,Toyota,Urban,Thursday,Oct,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
CL00003480,Aug,1,Wednesday,Toyota,Urban,Wednesday,Aug,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00005638,May,4,Sunday,Toyota,Urban,Wednesday,Jun,5,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
CL00000285,Jun,3,Saturday,Mazda,Urban,Friday,Jun,4,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00015278,May,1,Friday,Toyota,Urban,Monday,May,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
CL00015283,Mar,5,Thursday,Honda,Rural,Monday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,none,8 to 15,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00008175,Apr,4,Tuesday,Toyota,Urban,Wednesday,May,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00015077,Jan,1,Tuesday,Chevrolet,Urban,Tuesday,Feb,2,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00001166,Dec,3,Saturday,Pontiac,Urban,Thursday,Dec,4,Male,Married,Third Party,Sedan - Collision,Sedan,less than 20000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00009859,Sep,2,Thursday,Chevrolet,Urban,Thursday,Sep,4,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
CL00009122,May,2,Saturday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00014772,Apr,3,Thursday,Mazda,Urban,Wednesday,May,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,more than 30,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00010802,Jan,2,Wednesday,Pontiac,Urban,Friday,Jan,4,Male,Single,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,500,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1995,All Perils
CL00000723,Mar,3,Tuesday,Pontiac,Urban,Tuesday,Mar,5,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00013554,Oct,2,Monday,Mazda,Urban,Monday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00015073,Sep,2,Friday,Pontiac,Urban,Tuesday,Sep,2,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
CL00004354,Mar,1,Saturday,Mazda,Urban,Monday,Mar,1,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00014868,Jan,2,Thursday,Honda,Urban,Saturday,Jan,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00004933,Jan,3,Thursday,Toyota,Rural,Monday,Jan,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00015400,Dec,4,Friday,Ford,Urban,Friday,Dec,5,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00011984,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Aug,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00006433,May,2,Thursday,Accura,Urban,Friday,Jun,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00005669,Sep,3,Monday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00001494,Apr,1,Sunday,Accura,Urban,Wednesday,Apr,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
CL00002681,Feb,3,Monday,Pontiac,Urban,Thursday,Mar,5,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,500,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,All Perils
CL00012562,Feb,3,Monday,Dodge,Urban,Thursday,Jun,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00006396,Dec,4,Sunday,Toyota,Urban,Wednesday,Dec,5,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,1 year,2 vehicles,1994,Liability
CL00013584,Feb,1,Monday,Toyota,Urban,Friday,Feb,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00007759,Nov,3,Monday,Mazda,Urban,Tuesday,Nov,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00007175,Oct,2,Tuesday,Ford,Urban,Monday,Oct,3,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00004109,Jun,3,Monday,Mazda,Urban,Monday,Jun,3,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1996,Liability
CL00004656,Apr,4,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,1 year,1 vehicle,1995,Collision
CL00013530,Dec,2,Monday,Toyota,Urban,Monday,Dec,2,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00014132,Oct,4,Saturday,Mazda,Urban,Wednesday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
CL00000876,Jul,2,Monday,Accura,Rural,Monday,Jul,2,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00008048,May,3,Sunday,Honda,Urban,Tuesday,May,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00006934,Sep,2,Thursday,Pontiac,Urban,Thursday,Sep,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,700,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00015018,Dec,4,Friday,Accura,Urban,Thursday,Feb,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00014665,Feb,2,Monday,Pontiac,Urban,Tuesday,Feb,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00012570,Jun,4,Saturday,Pontiac,Urban,Monday,Jun,4,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00002782,Sep,4,Tuesday,Honda,Urban,Wednesday,Sep,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00003693,May,2,Friday,Pontiac,Rural,Friday,May,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00011081,Jan,2,Saturday,Accura,Urban,Thursday,Jan,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,400,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
CL00008566,Jun,1,Wednesday,Mazda,Urban,Friday,Jun,1,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00010698,Nov,4,Wednesday,Toyota,Urban,Wednesday,Nov,4,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability
CL00015177,Aug,2,Tuesday,Toyota,Urban,Thursday,Aug,3,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00014550,Dec,2,Sunday,Honda,Urban,Wednesday,Feb,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00004842,Nov,3,Saturday,Saturn,Urban,Friday,Dec,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00002224,Jul,3,Saturday,Mazda,Urban,Thursday,Aug,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00003686,Oct,4,Friday,Ford,Urban,Wednesday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,none,more than 7,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Liability
CL00014801,Apr,2,Sunday,Mazda,Urban,Tuesday,Apr,2,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00012761,Dec,2,Monday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
CL00002094,Mar,1,Saturday,Honda,Urban,Saturday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00000871,Jan,3,Friday,Toyota,Urban,Tuesday,Jan,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00011746,Jun,4,Wednesday,Toyota,Urban,Monday,Jul,1,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00008458,Dec,3,Monday,Honda,Urban,Monday,Mar,2,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision
CL00008248,Feb,2,Tuesday,Honda,Urban,Tuesday,Feb,2,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
CL00001468,Mar,2,Sunday,Toyota,Urban,Thursday,Apr,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00003819,Mar,1,Friday,Toyota,Rural,Wednesday,Apr,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00012802,Feb,2,Monday,VW,Urban,Tuesday,Feb,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
CL00012975,Feb,4,Monday,Honda,Urban,Thursday,Mar,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
CL00009513,Jan,2,Tuesday,Chevrolet,Rural,Monday,Feb,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
CL00013684,May,3,Wednesday,Toyota,Urban,Thursday,May,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00011787,Dec,1,Saturday,Pontiac,Urban,Monday,Dec,1,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00005917,Mar,1,Wednesday,Ford,Rural,Monday,Mar,2,Female,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00011100,Nov,2,Friday,Pontiac,Urban,Tuesday,Nov,4,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
CL00004671,Aug,3,Wednesday,Toyota,Urban,Tuesday,Jul,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00003955,Aug,1,Monday,Pontiac,Rural,Tuesday,Aug,1,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00004072,Dec,3,Monday,Mazda,Urban,Monday,Dec,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,500,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
CL00000322,Jan,3,Friday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00000952,May,2,Monday,Pontiac,Urban,Friday,Jun,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00013189,Sep,2,Monday,Ford,Urban,Tuesday,Sep,2,Male,Married,Third Party,Sedan - Collision,Sedan,60000 to 69000,0,400,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,3 to 4,1996,Collision
CL00004952,Mar,5,Tuesday,Pontiac,Urban,Friday,Apr,1,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
CL00006868,Nov,4,Saturday,Honda,Rural,Wednesday,Jan,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00011402,Mar,1,Thursday,Honda,Urban,Thursday,Mar,1,Female,Divorced,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00009805,May,2,Sunday,Toyota,Rural,Friday,Aug,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils
CL00011487,Nov,4,Friday,Mazda,Urban,Monday,Dec,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00008689,Jun,4,Thursday,Mazda,Urban,Friday,Jun,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
CL00010847,Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00004112,Oct,3,Friday,Chevrolet,Urban,Monday,Oct,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00012711,May,3,Wednesday,Pontiac,Urban,Tuesday,May,5,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00005061,Feb,1,Sunday,Chevrolet,Urban,Thursday,Feb,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00000630,Jan,1,Friday,Honda,Urban,Monday,Jan,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
CL00007348,Apr,2,Thursday,Honda,Urban,Monday,Apr,3,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,All Perils
CL00000096,May,4,Sunday,Pontiac,Urban,Monday,May,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00007302,Sep,1,Monday,Toyota,Urban,Monday,Sep,1,Male,Single,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
